ISO3,countryname,year,gen_govtax_GDP,ADB,AMECO,AMF,EUS,IMF_GFS,CS2,CS1,chainlinking_ratio,source,source_change,source_change_count
AUT,Austria,2010,42.1,,42.24527,,42.1,26.92303,,,1,EUS,,
AUT,Austria,2009,42.1,,42.2545,,42.1,26.816522,,,1,EUS,,
AUT,Austria,2026,44.31802,,44.31802,,,,,,1,AMECO,,
AUT,Austria,1973,26.17009,,,,,26.170088,,,1,IMF_GFS,,
AUT,Austria,2007,41.7,,41.86759,,41.7,26.958926,,,1,EUS,,
AUT,Austria,2027,43.85495,,43.85495,,,,,,1,AMECO,,
AUT,Austria,1992,27.32564,,,,,27.325637,,,1,IMF_GFS,,
AUT,Austria,1997,45.1,,45.33281,,45.1,28.746936,,,1,EUS,,
AUT,Austria,2016,42.7,,42.926,,42.7,27.28376,,,1,EUS,,
AUT,Austria,2023,42.9,,43.04351,,42.9,27.486195,,,1,EUS,,
AUT,Austria,2008,42.5,,42.64583,,42.5,27.622612,,,1,EUS,,
AUT,Austria,1994,26.90516,,,,,26.905163,,,1,IMF_GFS,1,2
AUT,Austria,1987,27.59555,,,,,27.59555,,,1,IMF_GFS,,
AUT,Austria,2000,43.9,,44.05375,,43.9,27.958666,,,1,EUS,,
AUT,Austria,2019,43.3,,43.47429,,43.3,27.63041,,,1,EUS,,
AUT,Austria,2011,42.2,,42.33195,,42.2,27.06307,,,1,EUS,,
AUT,Austria,1980,27.01351,,,,,27.013511,,,1,IMF_GFS,,
AUT,Austria,1982,26.66212,,,,,26.662118,,,1,IMF_GFS,,
AUT,Austria,2022,43.2,,43.41136,,43.2,28.111245,,,1,EUS,,
AUT,Austria,2024,43.7,,43.79542,,43.7,,,,1,EUS,,
AUT,Austria,1995,42.9,,43.08848,,42.9,26.591137,,,1,EUS,,
AZE,Azerbaijan,2001,13.4,13.4,,,,,,,1,ADB,,
AZE,Azerbaijan,2016,14.68349,14.68349,,,,14.68349,,,1,IMF_GFS,,
AZE,Azerbaijan,2014,14.34827,14.348266,,,,14.348266,,,1,IMF_GFS,,
AZE,Azerbaijan,2019,14.34157,14.341569,,,,14.341569,,,1,IMF_GFS,,
AZE,Azerbaijan,2000,12.2,12.2,,,,,,,1,ADB,,
AZE,Azerbaijan,2002,13.8,13.8,,,,,,,1,ADB,,
AZE,Azerbaijan,2020,15.3552,17.28623,,,,15.355197,,,1,IMF_GFS,,
AZE,Azerbaijan,2017,13.27864,13.278635,,,,13.278635,,,1,IMF_GFS,,
AZE,Azerbaijan,2003,14.1,14.1,,,,,,,1,ADB,,
AZE,Azerbaijan,2023,17.95734,,,,,17.957342,,,1,IMF_GFS,,
AZE,Azerbaijan,2007,18.4,18.4,,,,,,,1,ADB,1,1
AZE,Azerbaijan,2012,12.89336,12.893356,,,,12.893356,,,1,IMF_GFS,,
AZE,Azerbaijan,2022,15.59734,,,,,15.597337,,,1,IMF_GFS,,
AZE,Azerbaijan,2018,13.08467,13.084666,,,,13.084666,,,1,IMF_GFS,,
AZE,Azerbaijan,2006,16.3,16.3,,,,,,,1,ADB,,
AZE,Azerbaijan,2005,14,14,,,,,,,1,ADB,,
AZE,Azerbaijan,2021,13.57872,13.421349,,,,13.578718,,,1,IMF_GFS,,
AZE,Azerbaijan,2004,14.4,14.4,,,,,,,1,ADB,,
AZE,Azerbaijan,2008,16.58113,16.581127,,,,16.581127,,,1,IMF_GFS,,
AZE,Azerbaijan,2011,12.33324,12.333244,,,,12.333244,,,1,IMF_GFS,,
AZE,Azerbaijan,2010,12.29012,12.290121,,,,12.290121,,,1,IMF_GFS,,
AZE,Azerbaijan,2013,13.50916,13.509161,,,,13.509161,,,1,IMF_GFS,,
AZE,Azerbaijan,2015,15.74844,15.748437,,,,15.748437,,,1,IMF_GFS,,
AZE,Azerbaijan,2009,14.30642,14.30642,,,,14.30642,,,1,IMF_GFS,,
BEL,Belgium,2019,44.9,,45.26831,,44.9,29.680075,,,1,EUS,,
BEL,Belgium,2005,45.3,,45.66056,,45.3,29.90972,,,1,EUS,,
BEL,Belgium,1983,29.68966,,,,,29.689662,,,1,IMF_GFS,,
BEL,Belgium,2016,46,,46.41521,,46,30.127091,,,1,EUS,,
